E Oset;P Fernandez;MJ Vicente Vacas;;;;
E Oset;MJ Vicente Vacas;B Lopez Alvaredo;P Fernandez;;;
P Fernandez;IM Tkachenko;;;;;
DG Peiro;J Segura;CF Talavera;P Fernandez;;;
E Oset;P Fernandez;MJ Vicente Vacas;J Nieves;;;
P Fernandez;MJ Vicente Vacas;E Oset;;;;
E Oset Baguena;P Fernandez;JM Nieves Pamplona;;;;
P Fernandez;YL Ratis;;;;;
E Oset;MJ Vicente Vacas;J Nieves;P Fernandez;;;
P Fernandez;;;;;;
P Fernandez;E Oset;;;;;
P Fernandez;;;;;;
P Fernandez;;;;;;
P Fernandez;;;;;;
P Fernandez;E Oset;;;;;
P Fernandez;E Oset;LL Salcedo;;;;
P Fernandez;E Oset;;;;;
P Mayo;P Castaneda;S Abraham;P Fernandez;J Perez;;
PC Porras;P Fernandez;AQ Silverio;EH Vargas;;;
MEI Martinez;PMV Pla;JAA Daviu;L Dunai;JA Conejero;P Fernandez;
SB Ivars;YV Kartashov;P Fernandez;;;;
JC Castro Palacio;O Pena Rodriguez;P Fernandez;;;;
C Moret Tatay;D Gamermann;P Fernandez;;;;
S JLG;PC Porras;I JM;P Fernandez;;;
ZH Martinez;RA Jaime Infante;J Triana Dopico;OF Tellez;;;
A Vazquez Martinez;E Navarro Pardo;NF Robaina;;;;
MLA Arteaga;MEI Martinez;CEM Nsing;P Fernandez;;;
I JM;P Fernandez;RR JM;S JLG;;;
A Montagud;PJF de Cordoba;E Navarro;KR Patil;JF Urchueguia;;
P Fernandez;R Gaitan;A Hernandez Galeana;JM Rivera Rebolledo;;;
A Ferrando;E Silvestre;M Zacares;P Andres;MV Andres;B Gimeno;
C Gastaldi;P Fernandez;M Urrea;JL Llorens;;;
M Zacares;A Ferrando;P Andres;P Fernandez;F Gimenez;D Binosi;
M Lopo;A Montagud;E Navarro;I Cunha;A Zille;P Fernandez;
RC Fernandez;ML Gallego;JM Luque;P Fernandez;BS Castillo;;
IM ME;JM Garcia Gomez;C Saez;P Fernandez;A Conejero;;
IAC Toribio;P Fernandez;;;;;
MJP Quiles;P Fernandez;SH Calvo;FV Machuca;;;
