"Authors","Author full names","Author(s) ID","Title","Year","Link","Publisher"
"Beltrán A.; Felipe M.J.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","Structure of p-complements in groups with three p-regular class sizes","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880511350&doi=10.1007%2fs00605-012-0466-x&partnerID=40&md5=8ce6223003e92de90900dd87883a40f9",""
"BeltrÁn A.; Felipe M.J.; Shao C.G.","BeltrÁn, Antonio (7006241474); Felipe, María José (7005750167); Shao, Chang Guo (24377078800)","7006241474; 7005750167; 24377078800","Erratum: Corrigendum on the solvability of groups with four class sizes (Journal of Algebra and its Applications (2012) 11:6 (3))","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869492478&doi=10.1142%2fS0219498812920016&partnerID=40&md5=89b33f03bb65184f198b766cc4e6cc7a",""
"Beltrán A.; Felipe M.J.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","Prime factors of π-partial character degrees and conjugacy class sizes of π-elements","2005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-25844431754&doi=10.1142%2fs1005386705000660&partnerID=40&md5=55d9fe809ce431a4ab4804296267c8fa","World Scientific Publishing Co. Pte Ltd"
"Felipe M.J.; Jean-Philippe M.K.; Sotomayor V.","Felipe, M.J. (7005750167); Jean-Philippe, M.K. (58784070700); Sotomayor, V. (57195401726)","7005750167; 58784070700; 57195401726","Groups Whose Common Divisor Graph on p-Regular Classes has Diameter Three","2025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212961910&doi=10.1007%2fs00009-024-02782-2&partnerID=40&md5=6491f093190af9c32783fcec85aed1a8","Birkhauser"
"Alemany E.; Beltŕn A.; Felipe M.J.","Alemany, Elena (6507588549); Beltŕn, Antonio (7006241474); Felipe, María José (7005750167)","6507588549; 7006241474; 7005750167","Itô'S theorem on groups with two class sizes revisited","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860793081&doi=10.1017%2fS0004972711002875&partnerID=40&md5=c5f69f6514a769d0254e08409b5fb08a",""
"Beltrán A.; Felipe M.J.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","Solvability of normal subgroups and G-class sizes","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891682942&doi=10.5486%2fPMD.2013.5548&partnerID=40&md5=822a471e0e95ef6f406317bfd777db8d","Kossuth Lajos Tudomanyegyetem"
"Beltrán A.; Felipe M.J.; Malle G.; Moretó A.; Navarro G.; Sanus L.; Solomon R.; Tiep P.H.","Beltrán, Antonio (7006241474); Felipe, Marìa José (7005750167); Malle, Gunter (57207564381); Moretó, Alexander (6701471871); Navarro, Gabriel (7103017654); Sanus, Lucia (6602904373); Solomon, Ronald (7202755985); Tiep, Pham Huu (35615220900)","7006241474; 7005750167; 57207564381; 6701471871; 7103017654; 6602904373; 7202755985; 35615220900","Nilpotent and abelian hall subgroups in finite groups","2016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955125949&doi=10.1090%2ftran%2f6381&partnerID=40&md5=22eca95ed04d1cc852c5c54cf9b69867","American Mathematical Society"
"Beltrán A.; Felipe M.J.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","Structure of finite groups under certain arithmetical conditions on class sizes","2008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-38049003578&doi=10.1016%2fj.jalgebra.2007.10.027&partnerID=40&md5=b343be0d23df0fab1efac03abcf8d528",""
"BeltrÁn A.; Felipe M.J.","BeltrÁn, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","On the solvability of groups with four class sizes","2012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860375498&doi=10.1142%2fS0219498811005609&partnerID=40&md5=02681241ce55c23dcdf02d769d26d1c0",""
"Akhlaghi Z.; Beltrán A.; Felipe M.J.","Akhlaghi, Zeinab (26021016700); Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","26021016700; 7006241474; 7005750167","The influence of p-regular class sizes on normal subgroups","2013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881496613&doi=10.1515%2fjgt-2013-0002&partnerID=40&md5=03000c4d09bc955127ceaae400908420",""
"Beltrán A.; Felipe M.J.","Beltrán, Antonio (7006241474); Felipe, María José (7005750167)","7006241474; 7005750167","Simplicity of normal subgroups and conjugacy class sizes","2014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891439211&doi=10.1007%2fs00605-013-0602-2&partnerID=40&md5=5e54cdedf66619675dfdb5f8ef82056b","Springer-Verlag Wien"
