title,journal,year
Generalized Cesaro operators in weighted Banach spaces of analytic functions with sup-norms,Collectanea Mathematica,2024.0
Distance formulas on weighted Banach spaces of analytic functions,Complex Analysis and Operator Theory,2019.0
Erratum to: Dynamics and spectrum of the Cesaro operator on C_infty (R+),Monatshefte fur Mathematik,2016.0
Characterizing Frechet-Schwartz spaces via power bounded operators,Studia Math,2014.0
Frechet spaces with no infinite-dimensional Banach quotients,Journal of Mathematical Analysis and Applications,2012.0
Bornological spaces of type C (X)aSó Iµ E and C (X E),Funct. Approx. Comment. Math,1987.0
Density condition and distinguished echelon spaces - FR EN, Comptes Rendus de l'Academie des Sciences Serie I - Mathematique,1986.0
Generalized Hilbert operators acting on weighted spaces of holomorphic functions with sup-norms,Banach Journal Of Mathematical Analysis,2025.0
Compact weighted composition operators on spaces of holomorphic functions on Banach spaces,Journal of Operator Theory,2023.0
Weighted composition operators on weighted spaces of Banach valued analytic functions,Conferencia,2022.0
Invariant subspaces of the integration operators on Hormander algebras and Korenblum type spaces,Integral Equations and Operator Theory,2020.0
Order spectrum of the Cesaro operator in Banach lattice sequence spaces,Positivity,2020.0
Linear Operators on the (LB)-Sequence Spaces: In Honour of Manuel Lopez-Pellicer,Conferencia,2018.0
A note on the spectrum of composition operators on spaces of real analytic functions,Complex Analysis and Operator Theory,2017.0
Mean ergodic properties of the continuous Cesaro operators,Arxiv preprint arXiv:,2013.0
Factorization of weakly compact operators between Banach spaces and Frechet or (LB)-spaces,Matematicki Vesnik,2012.0
Convolution operators on quasianalytic classes of Roumieu type,Functional Analysis,2009.0
Dense subspaces of quasinormable spaces,Mathematische Nachrichten,2006.0
Closed linear maps from a barrelled normed space into itself need not be continuous,Bulletin of the Australian Mathematical Society,1998.0
Two classes of operators between Frechet spaces,Functional Analysis,1996.0
Inductive limits of vector-valued sequence spaces,Publicacions Matematiques,1989.0
Espacios tonelados,,1980.0
Cesaro operators associated with Borel measures acting on weighted spaces of holomorphic functions with sup-norms,Analysis and Mathematical Physics,2024.0
Integracion multiple y vectorial,Universitat Politecnica de Valencia,2023.0
Every separable complex Frechet space with a continuous norm is isomorphic to a space of holomorphic functions,Canadian Mathematical Bulletin,2021.0
Seminar about the Bounded Approximation Property in Fr\'echet Spaces,Arxiv preprint arXiv:,2020.0
Schauder bases and the decay rate of the heat equation,Journal of Evolution Equations,2019.0
El analisis matematico y los numeros primos,Instituto Universitario de Matematica Pura y Aplicada Universitat ...,2014.0
Bornological projective limits of inductive limits of normed spaces,Functiones et Approximatio Commentarii Mathematici,2011.0
Non-commutative locally convex measures,The Quarterly Journal of Mathematics,2011.0
Spaces of Moscatelli type. A survey,Note di Matematica,2011.0
El impacto del analisis funcional en algunos problemas del analisis,Universitat Politecnica de Valencia,2008.0
Intersections of Frechet spaces and (LB)-spaces,The Rocky Mountain Journal of Mathematics,2006.0
Boolean algebras of projections in (DF)-and (LF)-spaces,Bulletin of the Australian Mathematical Society,2003.0
Duality for monomorphisms and almost open operators between locally convex spaces,Bulletin de la Societe Royale des Sciences de Liege,2001.0
The subspace problem for weighted inductive limits revisited,The Rocky Mountain Journal of Mathematics,2000.0
Representaciones de los espacios B0 (Œ E) y B1 (Œ E).,Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales. Serie,1983.0
Representaciones de los espacios e^(E) y &i^(E),Collectanea Mathematica,1982.0
